contract_address,label,confuzzius,mythril-0.24.7,osiris,oyente,slither-0.10.4
IntergerOU*1*0xca35885ddc8f0c6abe561a0e1dacc05a311cfb4e.sol,1,1,0,1,1,NA
IntergerOU*1*0xccb15d8b18031c027d6cc51751d77f008fabb345.sol,1,0,0,1,1,NA
IntergerOU*1*0xdb09aba26e7a54f95951defc0a56b7f11a5ef023.sol,1,0,0,1,0,NA
IntergerOU*1*0xdc4d9bba9a9013b6fe27ee2c531cabe5d6b43197.sol,1,0,0,1,0,NA
IntergerOU*1*0xdc919494349e803fbd2d4064106944418381edb3.sol,1,0,0,1,1,NA
IntergerOU*1*0xee132ac9eb7dc7518cb06a17bf1e31a541fb2cbc.sol,1,0,0,0,1,NA
IntergerOU*1*0xee53ca3ae3d296c0f2a128138d12a0a3a60fa1f5.sol,1,0,1,1,0,NA
IntergerOU*1*0xee7477b1c42d173c0791cecf2592f6a8a4c16b0a.sol,1,0,0,1,1,NA
IntergerOU*1*0xefe17f088be79ba802b60ea84ebafb255ea18aa4.sol,1,0,0,0,0,NA
IntergerOU*1*0xf077155fca8288da1cbdfbc77e5a33e8f2289664.sol,1,0,0,1,1,NA
IntergerOU*1*0xf4db7690bb4f617ac0f4c29d627722deef093340.sol,1,1,0,1,0,NA
IntergerOU*1*0xf78e6b17cd7765ec8b9b3b96eac2e61bce01b851.sol,1,0,0,1,1,NA
IntergerOU*1*0xf7ed56c1ac4d038e367a987258b86fc883b960a1.sol,1,0,0,1,1,NA
IntergerOU*1*0xfad1f1549f979c525b03141ceaa65775cf56b724.sol,1,0,0,0,0,NA
IntergerOU*1*0xfb673f08fc82807b4d0e139e794e3b328d63551f.sol,1,0,0,1,1,NA
IntergerOU*1*0xfc016cbb9f4196dcb8073db7e33d9ef6cc3ea6e9.sol,1,0,0,1,1,NA
